Alg,Filtered,Score,silhouette score,Num Clusters
Kmeans,1,1.3601293177376759,0.3169902098644137,3
Kmeans,1,1.4421950350156783,0.1837693803107775,4
Kmeans,1,1.5867922340794491,0.18226640049421117,5
Kmeans,1,1.663464924245004,0.19601974945663697,6
Kmeans,1,1.752642959380592,0.18070136280039373,7
Kmeans,1,1.6939285417525867,0.13693710580419804,8
Kmeans,1,1.7909809990801688,0.1287151656694854,9
Kmeans,1,1.8134399748180354,0.12973410948536782,10
Kmeans,1,1.7957740393390553,0.11896090794650167,11
Kmeans,1,1.881713188295036,0.11111302721771757,12
Kmeans,1,1.9357183201686403,0.12175268013103828,13
