Alg,Filtered,Score,silhouette score,Num Clusters
Kmeans,0,1.377362749834465,0.3207313218322214,3
Kmeans,0,1.4593191598266757,0.13112157696123117,4
Kmeans,0,1.5731544557005848,0.1437516101905144,5
Kmeans,0,1.663723285292609,0.2077284711766392,6
Kmeans,0,1.5802408094167506,0.11081921414813875,7
Kmeans,0,1.814665454164605,0.13426439371881616,8
Kmeans,0,1.8227942894469331,0.13168225811170814,9
Kmeans,0,1.8371305827591002,0.1085910753165323,10
Kmeans,0,1.85822562061668,0.11279261377162893,11
Kmeans,0,1.8758752654252762,0.09922505094940876,12
Kmeans,0,1.9154944628954442,0.09558463397926438,13
